"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"MEX",2001,158266.87944330341300862,13288.00530319112642846
"MEX",2002,158812.56203280928770841,13774.40492017286248177
"MEX",2003,152535.85616055128406809,18560.60976844643656872
"MEX",2004,169831.01094338331695554,15887.62600468506921988
"MEX",2005,206862.35071191131096545,23399.17366071867963189
"MEX",2006,179069.58130620458056095,38746.64712565586126254
"MEX",2007,218643.43729960672503880,17117.40154004652022883
"MEX",2008,184335.11291641276467717,20531.55932263093475473
"MEX",2009,281121.03063908982059486,40934.16794704730908815
"MEX",2010,166829.54516119701439785,14545.67499444810960729
"MEX",2011,186828.76008455579402561,34437.86863380156091241
"MEX",2012,174713.39324957381745927,22400.01123720625066564
"MEX",2013,218916.11322392201672210,29174.57996787223562833
"MEX",2014,170606.44047885654986166,9064.53238987460271051
"MEX",2015,197533.71421764945506989,25458.34954625503288790
"MEX",2016,273931.19902754468732436,43030.28880280823208121
"MEX",2017,298634.09129968831845428,47306.65986100039571514
"MEX",2018,267179.57036407340035947,38291.46295891056107767
"MEX",2019,327306.74883609065790444,77119.76584020295311242
"MEX",2020,299299.55440157513443274,86190.75564578998734260
"MEX",2021,189046.85275162773481779,41211.58773050217173792
"MEX",2022,178846.47810041262937482,34259.96641263149299109
"MEX",2023,226363.83031614415825182,47797.21365057851587206
